Comment,Designator,Footprint,LCSC
"100n","C1,C2,C3,C4,C5,C6,C7,C8,C9,C17,C101,C102,C103,C104,C105,C106,C107,C108,C109,C117","Capacitor_SMD:C_0402_1005Metric","C1525"
"1u","C10,C13,C15,C16,C110,C113","Capacitor_SMD:C_0402_1005Metric","C52923"
"15p","C18,C19,C118,C119","Capacitor_SMD:C_0402_1005Metric","C1548"
"Conn_01x06","J1,J101","Connector_PinHeader_2.00mm:PinHeader_1x06_P2.00mm_Vertical",""
"27","R3,R4,R103,R104","Resistor_SMD:R_0402_1005Metric","C138021"
"10k","R5,R105","Resistor_SMD:R_0402_1005Metric","C25744"
"1k","R6,R7,R106,R107","Resistor_SMD:R_0402_1005Metric","C11702"
"RP2040","U3,U103","RP2040:RP2040-QFN-56","C2040"
"TLV73333PDBV","U4","Package_TO_SOT_SMD:SOT-23-5","C134139"
"W25Q128JVS","U5,U105","USON:8-USON","C401667"
"Crystal_GND24","Y1,Y101","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","C2896601"
