Comment,Designator,Footprint,LCSC,Quantity
22,"R1,R2",R_0402_1005Metric,C102906,2
1k,"R106,R107",R_0402_1005Metric,C11702,2
TLV73333PDBV,U4,SOT-23-5,C134139,1
27,"R103,R104",R_0402_1005Metric,C138021,2
100n,"C101,C102,C103,C104,C105,C106,C107,C108,C109,C117",C_0402_1005Metric,C1525,10
15p,"C118,C119",C_0402_1005Metric,C1548,2
LED,D1,LED_0201_0603Metric,C165981,1
RP2040,U103,RP2040-QFN-56,C2040,1
SW_Push,SW102,SW_SPST_B3U-1000P,C231329,1
300,R108,R_0402_1005Metric,C25102,1
10k,R105,R_0402_1005Metric,C25744,1
W25Q128JVS,U105,8-USON,C2843335,1
USB_A,USB1,C42459,C42459,1
1u,"C110,C113,C15,C16",C_0402_1005Metric,C52923,4
Crystal_GND24,Y101,Crystal_SMD_2520-4Pin_2.5x2.0mm,C90603,1
USB_A,USB2,C98125,C98125,1
