Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100n,C_0402_1005Metric,147.55,-54.875,-90.0,top
C102,100n,C_0402_1005Metric,144.75,-41.595,90.0,top
C103,100n,C_0402_1005Metric,146.5,-54.275,-90.0,top
C104,100n,C_0402_1005Metric,150.98,-49.125,90.0,top
C105,100n,C_0402_1005Metric,141.63,-47.07,-90.0,top
C106,100n,C_0402_1005Metric,150.98,-46.075,90.0,top
C107,100n,C_0402_1005Metric,145.75,-41.595,90.0,top
C108,100n,C_0402_1005Metric,141.65,-50.5,90.0,top
C109,100n,C_0402_1005Metric,141.65,-52.4,-90.0,top
C110,1u,C_0402_1005Metric,142.3,-54.3,-90.0,top
C113,1u,C_0402_1005Metric,143.3,-54.245,-90.0,top
C117,100n,C_0402_1005Metric,152.03,-56.175,-90.0,top
C118,15p,C_0402_1005Metric,149.5,-42.9,180.0,top
C119,15p,C_0402_1005Metric,146.8,-39.85,90.0,top
C15,1u,C_0402_1005Metric,142.05,-39.0,0.0,top
C16,1u,C_0402_1005Metric,141.15,-43.9,180.0,top
D1,LED,LED_0201_0603Metric,140.5,-47.0,90.0,top
R1,22,R_0402_1005Metric,144.65,-39.45,180.0,top
R103,27,R_0402_1005Metric,145.45,-54.4,90.0,top
R104,27,R_0402_1005Metric,144.4,-54.4,90.0,top
R105,10k,R_0402_1005Metric,150.98,-51.05,-90.0,top
R106,1k,R_0402_1005Metric,152.4,-46.05,90.0,top
R107,1k,R_0402_1005Metric,146.8,-41.8,-90.0,top
R108,300,R_0402_1005Metric,140.5,-49.0,-90.0,top
R2,22,R_0402_1005Metric,143.45,-41.6,-90.0,top
SW102,SW_Push,SW_SPST_B3U-1000P,152.2,-41.9,-90.0,top
U103,RP2040,RP2040-QFN-56,146.3,-47.575,180.0,top
U105,W25Q128JVS,8-USON,150.2,-54.325,180.0,top
U4,TLV73333PDBV,SOT-23-5,141.0,-41.5,90.0,top
USB1,USB_A,C42459,146.5,-35.531,180.0,top
USB2,USB_A,C98125,146.5,-59.775,0.0,top
Y101,Crystal_GND24,Crystal_SMD_2520-4Pin_2.5x2.0mm,148.85,-40.65,90.0,top
