Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",139.150000,-126.400000,90.000000,top
"C2","100n","C_0402_1005Metric",141.500000,-139.825000,-90.000000,top
"C3","100n","C_0402_1005Metric",140.200000,-127.000000,90.000000,top
"C4","100n","C_0402_1005Metric",135.150000,-130.750000,180.000000,top
"C5","100n","C_0402_1005Metric",145.050000,-135.175000,-90.000000,top
"C6","100n","C_0402_1005Metric",135.700000,-135.200000,-90.000000,top
"C7","100n","C_0402_1005Metric",140.500000,-139.825000,-90.000000,top
"C8","100n","C_0402_1005Metric",145.050000,-130.812500,-90.000000,top
"C9","100n","C_0402_1005Metric",145.050000,-128.912500,90.000000,top
"C10","1u","C_0402_1005Metric",144.450000,-127.012500,90.000000,top
"C13","1u","C_0402_1005Metric",143.400000,-127.000000,90.000000,top
"C15","1u","C_0402_1005Metric",148.580000,-128.850000,0.000000,top
"C16","1u","C_0402_1005Metric",145.500000,-127.025000,90.000000,top
"C17","100n","C_0402_1005Metric",134.650000,-125.050000,90.000000,top
"C18","15p","C_0402_1005Metric",137.200000,-138.375000,0.000000,top
"C19","15p","C_0402_1005Metric",139.500000,-141.775000,-90.000000,top
"C101","100n","C_0402_1005Metric",156.250000,-140.200000,-90.000000,top
"C102","100n","C_0402_1005Metric",153.450000,-126.920000,90.000000,top
"C103","100n","C_0402_1005Metric",155.200000,-139.600000,-90.000000,top
"C104","100n","C_0402_1005Metric",160.250000,-135.850000,0.000000,top
"C105","100n","C_0402_1005Metric",149.780000,-132.050000,180.000000,top
"C106","100n","C_0402_1005Metric",160.830000,-131.650000,0.000000,top
"C107","100n","C_0402_1005Metric",154.450000,-126.920000,90.000000,top
"C108","100n","C_0402_1005Metric",150.350000,-135.825000,90.000000,top
"C109","100n","C_0402_1005Metric",150.350000,-137.725000,-90.000000,top
"C110","1u","C_0402_1005Metric",151.000000,-139.625000,-90.000000,top
"C113","1u","C_0402_1005Metric",152.000000,-139.570000,-90.000000,top
"C117","100n","C_0402_1005Metric",160.750000,-141.550000,-90.000000,top
"C118","15p","C_0402_1005Metric",158.200000,-128.225000,180.000000,top
"C119","15p","C_0402_1005Metric",155.500000,-125.175000,90.000000,top
"C201","100u","CP_EIA-3528-21_Kemet-B",117.000000,-100.000000,90.000000,top
"C202","100u","CP_EIA-3528-21_Kemet-B",133.000000,-100.000000,90.000000,top
"C203","100u","CP_EIA-3528-21_Kemet-B",149.000000,-100.000000,90.000000,top
"C204","100u","CP_EIA-3528-21_Kemet-B",165.000000,-100.000000,90.000000,top
"C205","10u","C_0402_1005Metric",146.650000,-123.500000,180.000000,top
"C206","10u","C_0402_1005Metric",148.900000,-123.500000,0.000000,top
"C207","10u","C_0402_1005Metric",144.100000,-123.500000,180.000000,top
"J1","AudioJack3","C381131",128.229324,-144.783441,63.000000,top
"J2","AudioJack3","C381131",116.927682,-136.572317,45.000000,top
"J3","AudioJack3","C381131",108.716558,-125.270676,27.000000,top
"J4","AudioJack3","C381131",104.399715,-111.984799,9.000000,top
"J5","AudioJack3","C381131",104.399716,-98.015202,-9.000000,top
"J6","AudioJack3","C381131",108.716559,-84.729324,-27.000000,top
"J7","AudioJack3","C381131",116.927683,-73.427682,-45.000000,top
"J8","AudioJack3","C381131",128.229324,-65.216558,-63.000000,top
"J9","AudioJack3","C381131",141.515201,-60.899715,-81.000000,top
"J10","AudioJack3","C381131",155.484798,-60.899716,-99.000000,top
"J11","AudioJack3","C381131",168.770676,-65.216559,-117.000000,top
"J12","AudioJack3","C381131",180.072318,-73.427683,-135.000000,top
"J13","AudioJack3","C381131",188.283442,-84.729324,-153.000000,top
"J14","AudioJack3","C381131",192.600285,-98.015201,-171.000000,top
"J15","AudioJack3","C381131",192.600284,-111.984798,171.000000,top
"J16","AudioJack3","C381131",188.283441,-125.270676,153.000000,top
"J17","AudioJack3","C381131",180.072317,-136.572318,135.000000,top
"J18","AudioJack3","C381131",168.770676,-144.783442,117.000000,top
"R3","27","R_0402_1005Metric",141.250000,-127.000000,-90.000000,top
"R4","27","R_0402_1005Metric",142.330000,-127.000000,-90.000000,top
"R5","10k","R_0402_1005Metric",135.200000,-129.600000,0.000000,top
"R7","1k","R_0402_1005Metric",139.500000,-139.875000,90.000000,top
"R101","5.1k","R_0402_1005Metric",151.200000,-146.500000,0.000000,top
"R102","5.1k","R_0402_1005Metric",147.200000,-146.000000,90.000000,top
"R103","27","R_0402_1005Metric",154.150000,-139.600000,90.000000,top
"R104","27","R_0402_1005Metric",153.070000,-139.600000,90.000000,top
"R105","10k","R_0402_1005Metric",160.200000,-137.000000,180.000000,top
"R106","1k","R_0402_1005Metric",159.850000,-144.250000,180.000000,top
"R107","1k","R_0402_1005Metric",155.500000,-127.125000,-90.000000,top
"SW102","SW_Push","SW_SPST_B3U-1000P",155.750000,-144.250000,0.000000,top
"U1","SL2.1A","SOP-16_3.9x9.9mm_P1.27mm",146.500000,-118.850000,180.000000,top
"U3","RP2040","RP2040-QFN-56",140.400000,-133.700000,0.000000,top
"U4","TLV73333PDBV","SOT-23-5",147.950000,-126.475000,0.000000,top
"U5","W25Q128JVS","8-USON",136.500000,-126.950000,0.000000,top
"U103","RP2040","RP2040-QFN-56",155.000000,-132.900000,180.000000,top
"U105","W25Q128JVS","8-USON",158.900000,-139.650000,180.000000,top
"USB1","USB_A","C2689978",124.500000,-105.000000,180.000000,top
"USB2","USB_A","C2689978",140.500000,-105.000000,180.000000,top
"USB3","USB_A","C2689978",156.500000,-105.000000,180.000000,top
"USB4","USB_A","C2689978",172.500000,-105.000000,180.000000,top
"USB101","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",148.500000,-150.716000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",137.450000,-140.625000,-90.000000,top
"Y101","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",157.550000,-125.975000,90.000000,top
